timestamp,person,bicycle,car,motorcycle,bus,truck,total_vehicles
2017-09-11 07:59:00,5,0,588,0,2,3,598
2017-09-11 08:00:00,0,0,627,0,39,8,674
2017-09-11 08:01:00,0,0,704,0,6,2,712
2017-09-11 08:02:00,0,0,493,0,3,9,505
2017-09-11 08:03:00,5,0,395,0,3,8,411
2017-09-11 08:04:00,3,0,589,0,15,1,608
2017-09-11 08:05:00,6,0,523,3,0,1,533
2017-09-11 08:06:00,5,0,544,0,10,1,560
2017-09-11 08:07:00,2,0,485,0,12,3,502
2017-09-11 08:08:00,0,0,419,0,0,0,419
2017-09-11 08:09:00,1,0,398,0,8,2,409
2017-09-11 08:10:00,1,0,184,0,4,1,190
2017-09-11 08:11:00,0,0,243,0,0,0,243
2017-09-11 08:12:00,0,0,227,0,7,0,234
2017-09-11 08:13:00,0,0,249,0,3,2,254
2017-09-11 08:14:00,2,0,237,0,1,0,240
2017-09-11 08:15:00,0,0,294,0,3,3,300
2017-09-11 08:16:00,0,0,211,0,1,0,212
2017-09-11 08:17:00,2,0,278,0,0,0,280
2017-09-11 08:18:00,2,0,204,0,3,0,209
2017-09-11 08:19:00,5,0,251,0,0,3,259
2017-09-11 08:20:00,1,0,260,0,1,0,262
2017-09-11 08:21:00,1,0,240,0,0,0,241
2017-09-11 08:22:00,0,0,136,0,3,0,139
2017-09-11 08:23:00,4,0,265,0,1,0,270
2017-09-11 08:24:00,2,0,310,0,8,0,320
2017-09-11 08:25:00,1,0,322,0,2,0,325
2017-09-11 08:26:00,1,0,208,0,4,2,215
2017-09-11 08:27:00,1,0,268,0,3,1,273
2017-09-11 08:28:00,1,0,247,0,1,0,249
2017-09-11 08:29:00,2,0,134,0,1,0,137
2017-09-11 08:30:00,8,0,151,0,3,0,162
2017-09-11 08:31:00,2,0,261,0,0,0,263
2017-09-11 08:32:00,0,0,284,0,2,2,288
2017-09-11 08:33:00,3,0,355,0,1,0,359
2017-09-11 08:34:00,8,0,261,0,0,0,269
2017-09-11 08:35:00,7,0,254,0,0,1,262
2017-09-11 08:36:00,4,0,201,0,1,0,206
2017-09-11 08:37:00,0,0,171,0,1,0,172
2017-09-11 08:38:00,4,0,171,0,0,0,175
2017-09-11 08:39:00,2,0,310,0,0,1,313
2017-09-11 08:40:00,0,0,198,0,0,1,199
2017-09-11 08:41:00,0,0,323,0,0,1,324
2017-09-11 08:42:00,1,0,316,0,5,2,324
2017-09-11 08:43:00,0,0,241,0,0,0,241
2017-09-11 08:44:00,3,0,238,0,3,0,244
2017-09-11 08:45:00,0,0,153,1,1,0,155
2017-09-11 08:46:00,3,0,409,0,5,1,418
2017-09-11 08:47:00,6,0,275,0,4,0,285
2017-09-11 08:48:00,3,0,195,0,1,2,201
2017-09-11 08:49:00,1,0,235,0,0,0,236
2017-09-11 08:50:00,0,0,219,0,1,0,220
2017-09-11 08:51:00,1,0,233,0,1,0,235
2017-09-11 08:52:00,1,0,306,0,0,1,308
2017-09-11 08:53:00,7,0,248,0,0,0,255
2017-09-11 08:54:00,0,0,311,0,0,2,313
2017-09-11 08:55:00,0,2,262,0,2,0,266
